item,itemLabel,imdbidLabel
http://www.wikidata.org/entity/Q1607373,Vidhu Vinod Chopra,nm0006765
http://www.wikidata.org/entity/Q2001803,Raveena Tandon,nm0849199
http://www.wikidata.org/entity/Q1749451,Remya Nambeesan,nm2463487
http://www.wikidata.org/entity/Q1749508,Silk Smitha,nm0810426
http://www.wikidata.org/entity/Q1747325,Vinod Pande,nm0659225
http://www.wikidata.org/entity/Q1749493,Saloni Aswani,nm1518334
http://www.wikidata.org/entity/Q1609586,Moon Moon Sen,nm0784018
http://www.wikidata.org/entity/Q1965038,Yunus Parvez,nm0664109
http://www.wikidata.org/entity/Q2003771,Anup Soni,nm0814331
http://www.wikidata.org/entity/Q2003835,Satyajit Sharma,nm1683001
http://www.wikidata.org/entity/Q2004189,Vikrant Massey,nm5750828
http://www.wikidata.org/entity/Q1662266,Anand Abhyankar,nm1237063
http://www.wikidata.org/entity/Q1612623,Satish Shah,nm0787474
http://www.wikidata.org/entity/Q1747340,Masumeh Makhija,nm1280282
http://www.wikidata.org/entity/Q1647814,Iftekhar,nm0407002
http://www.wikidata.org/entity/Q1935923,Milton Reid,nm0717374
http://www.wikidata.org/entity/Q1718193,K. P. Kottarakkara,nm2129914
http://www.wikidata.org/entity/Q2003885,Smita Bansal,nm3169060
http://www.wikidata.org/entity/Q2003940,Sakshi Tanwar,nm2799219
http://www.wikidata.org/entity/Q2004167,Sachin Shroff,nm3571351
http://www.wikidata.org/entity/Q2003726,Anjum Farooki,nm4556716
http://www.wikidata.org/entity/Q2003807,Neha Marda,nm4760359
http://www.wikidata.org/entity/Q2040478,Raageshwari,nm0704667
http://www.wikidata.org/entity/Q2043591,Paidi Jairaj,nm0415851
http://www.wikidata.org/entity/Q2049688,S. P. Balasubrahmanyam,nm0004416
http://www.wikidata.org/entity/Q1802784,Sobhan Babu,nm0004576
http://www.wikidata.org/entity/Q1749475,Shamili,nm0045138
http://www.wikidata.org/entity/Q1773250,Prashant Prabhakar,nm2466419
http://www.wikidata.org/entity/Q1828366,Komal,nm3837488
http://www.wikidata.org/entity/Q1891741,Shoba,nm1685564
http://www.wikidata.org/entity/Q2043560,P. Bhaskaran,nm0080279
http://www.wikidata.org/entity/Q1612637,Sanjay Kapoor,nm0438503
http://www.wikidata.org/entity/Q1993373,Nirendranath Lahiri,nm0481570
http://www.wikidata.org/entity/Q1992008,Govinda,nm0332871
http://www.wikidata.org/entity/Q2003575,Pratyusha Banerjee,nm4760510
http://www.wikidata.org/entity/Q2004042,Bhairavi Raichura,nm4043457
http://www.wikidata.org/entity/Q1959649,N. Viswanathan,nm0899801
http://www.wikidata.org/entity/Q2003547,Sidharth Shukla,nm3983956
http://www.wikidata.org/entity/Q2003605,Sriti Jha,nm4381753
http://www.wikidata.org/entity/Q2017182,Urmila Matondkar,nm0007107
http://www.wikidata.org/entity/Q2049740,Sebastian Kunjukunju Bhagavathar,nm0080167
http://www.wikidata.org/entity/Q2003652,Avika Gor,nm2203296
http://www.wikidata.org/entity/Q2049494,Shankar Mahadevan,nm0536708
http://www.wikidata.org/entity/Q2028314,Sumithra,nm1153351
http://www.wikidata.org/entity/Q2049641,Madhu Balakrishnan,nm1819742
http://www.wikidata.org/entity/Q1749549,Sumalata,nm0838517
http://www.wikidata.org/entity/Q1990143,Murali,nm0613512
http://www.wikidata.org/entity/Q3499101,Pankaj Kapur,nm0438488
http://www.wikidata.org/entity/Q3345031,Akkineni Nagarjuna,nm0015459
http://www.wikidata.org/entity/Q3349817,Debashree Roy,nm0746987
http://www.wikidata.org/entity/Q3349745,Suchitra Mitra,nm0593971
http://www.wikidata.org/entity/Q3273349,Sujatha,nm0837674
http://www.wikidata.org/entity/Q3424281,Jai,nm0415773
http://www.wikidata.org/entity/Q3045307,Sanjay Suri,nm0839634
http://www.wikidata.org/entity/Q3429995,Bhanumathi Ramakrishna,nm0707951
http://www.wikidata.org/entity/Q3494314,Vasundhara Das,nm0201918
http://www.wikidata.org/entity/Q3519669,Meera Jasmine,nm1307939
http://www.wikidata.org/entity/Q3465902,Viveka Babajee,nm1163179
http://www.wikidata.org/entity/Q3519611,Shobana,nm0811794
http://www.wikidata.org/entity/Q3498996,N. T. Rama Rao Jr.,nm1694524
http://www.wikidata.org/entity/Q3514905,Archita Sahu,nm3373920
http://www.wikidata.org/entity/Q3519495,Raghuvaran,nm0706499
http://www.wikidata.org/entity/Q3345518,Suriya,nm1421814
http://www.wikidata.org/entity/Q3276006,Meena,nm0576169
http://www.wikidata.org/entity/Q3417981,Rajendra Nath,nm0707398
http://www.wikidata.org/entity/Q3418119,Savitri,nm0767800
http://www.wikidata.org/entity/Q3117676,Rahul Khanna,nm0451391
http://www.wikidata.org/entity/Q3111131,Mumtaz,nm0612614
http://www.wikidata.org/entity/Q3021147,Deepak Tijori,nm0863120
http://www.wikidata.org/entity/Q3519840,Shakeela,nm0787631
http://www.wikidata.org/entity/Q3089275,Mahesh Manjrekar,nm0542498
http://www.wikidata.org/entity/Q3092199,Udita Goswami,nm1571396
http://www.wikidata.org/entity/Q3194679,Srinivasan,nm5463331
http://www.wikidata.org/entity/Q3181904,Milind Soman,nm0813763
http://www.wikidata.org/entity/Q3192762,Kanu Banerjee,nm0052333
http://www.wikidata.org/entity/Q3202714,Bhanumati Devi,nm3370270
http://www.wikidata.org/entity/Q2995813,Parineeti Chopra,nm4495174
http://www.wikidata.org/entity/Q3053437,Emraan Hashmi,nm1431656
http://www.wikidata.org/entity/Q3057324,Hrishitaa Bhatt,nm1064764
http://www.wikidata.org/entity/Q3429883,Bala,nm1220246
http://www.wikidata.org/entity/Q3121114,Satish Kaushik,nm0442479
http://www.wikidata.org/entity/Q3136554,Prabhas,nm1659141
http://www.wikidata.org/entity/Q3401469,Prayag Raj,nm0707274
http://www.wikidata.org/entity/Q2993510,Nandu Bhende,nm1240913
http://www.wikidata.org/entity/Q3181097,Suresh Wadkar,nm0905574
http://www.wikidata.org/entity/Q3184645,Gajendra Chauhan,nm1024111
http://www.wikidata.org/entity/Q3472307,Sanjeev Bhaskar,nm0080276
http://www.wikidata.org/entity/Q3299726,Adithya,nm2178111
http://www.wikidata.org/entity/Q3133978,Sadhana Shivdasani,nm0623321
http://www.wikidata.org/entity/Q3520208,Roja,nm0737730
http://www.wikidata.org/entity/Q3348898,Madhabi Mukherjee,nm0611538
http://www.wikidata.org/entity/Q3351688,Kanan Devi,nm0222454
http://www.wikidata.org/entity/Q3351806,Anil Biswas,nm0084433
http://www.wikidata.org/entity/Q3012414,Dalip Tahil,nm0846681
http://www.wikidata.org/entity/Q3401588,Prem Chopra,nm0159159
http://www.wikidata.org/entity/Q2992971,Rituparna Sengupta,nm0784292
http://www.wikidata.org/entity/Q2995800,Nawazuddin Siddiqui,nm1596350
http://www.wikidata.org/entity/Q3124846,Siddharth Narayan,nm1413459
http://www.wikidata.org/entity/Q3481958,Sherlyn Chopra,nm1298692
http://www.wikidata.org/entity/Q3288794,Usha Mangeshkar,nm0542197
http://www.wikidata.org/entity/Q3483111,Sidharth Malhotra,nm3289096
http://www.wikidata.org/entity/Q3294532,Marne Maitland,nm0537962
http://www.wikidata.org/entity/Q3297625,Aranmula Ponnamma,nm1167045
http://www.wikidata.org/entity/Q3031096,Vijay Raaz,nm0704694
http://www.wikidata.org/entity/Q3496304,Rajpal Yadav,nm1056425
http://www.wikidata.org/entity/Q3497323,Kunal Khemu,nm0447240
http://www.wikidata.org/entity/Q3021150,Deepa Sahi,nm0756313
http://www.wikidata.org/entity/Q3165960,Nazriya Nazim,nm2601111
http://www.wikidata.org/entity/Q3046959,Zarine Khan,nm3768934
http://www.wikidata.org/entity/Q3519476,Mamta Kulkarni,nm0474616
http://www.wikidata.org/entity/Q3519783,Leela Naidu,nm0619662
http://www.wikidata.org/entity/Q3520003,Bhanupriya,nm0080228
http://www.wikidata.org/entity/Q3520293,Amala Paul,nm3898762
http://www.wikidata.org/entity/Q3348185,Palash Sen,nm1242236
http://www.wikidata.org/entity/Q3348752,Santosh Dutta,nm0244904
