,wiki_id
0,Q202765
1,Q13909
2,Q80405
3,Q147077
4,Q38111
5,Q83492
6,Q35332
7,Q2263
8,Q14441
9,Q12003
10,Q439314
11,Q188955
12,Q189490
13,Q103343
14,Q42869
15,Q3772
16,Q29328
17,Q80046
18,Q36301
19,Q43203
20,Q42101
21,Q37876
22,Q36949
23,Q483118
24,Q41148
25,Q2388576
26,Q45772
27,Q433417
28,Q37459
29,NULL
30,Q80966
31,Q204299
32,Q7088045
33,Q40791
34,Q175535
35,Q8877
36,Q40523
37,Q129817
38,Q42229
39,Q44063
40,Q191828
41,Q11930
42,Q65932
43,Q134077
44,Q185140
45,Q150482
46,Q41163
47,Q41351
48,Q39792
49,Q212026
50,Q199884
51,Q484523
52,Q375590
53,Q168724
54,Q47664
55,Q316446
56,Q23844
57,Q873
58,Q48337
59,Q83338
60,Q170574
61,Q200534
62,Q166389
63,Q40572
64,Q102462
65,Q174843
66,Q349391
67,Q16207879
68,Q360531
69,Q44221
70,Q40531
71,Q4573
72,Q105660
73,Q131380
74,Q25089
75,Q34012
76,Q119798
77,Q280098
78,Q25144
79,Q172653
80,Q103646
81,Q180560
82,Q59215
83,Q229487
84,Q41871
85,Q170587
86,Q134895
87,Q34851
88,Q215976
89,Q76819
90,Q108935
91,Q2001
92,Q133050
93,Q171905
94,Q104514
95,Q8927
96,Q42574
97,NULL
98,Q26821227
99,Q187033
100,Q93187
101,Q150943
102,Q202735
103,Q3371986
104,Q28288
105,Q185051
106,Q34460
107,Q1033016
108,Q42786
109,Q182763
110,Q19155
111,Q193628
112,Q123351
113,Q173585
114,Q162492
115,Q59314
116,Q188459
117,Q193668
118,Q103917
119,Q43252
120,Q167520
121,Q544465
122,NULL
123,Q347879
124,Q229254
125,Q19848
126,Q270730
127,Q41142
128,Q464169
129,Q56095
130,Q42930
131,Q229181
132,Q510970
133,Q161819
134,Q190523
135,Q181936
136,Q220901
137,Q171736
138,Q20178
139,Q104266
140,Q219124
141,Q102642
142,Q4465
143,Q3925
144,Q234544
145,Q211144
146,Q171745
147,Q168721
148,Q28054
149,Q495980
150,Q228931
151,Q181799
152,Q95048
153,Q108283
154,Q181413
155,Q187364
156,Q51492
157,Q230131
158,Q56094
159,Q105817
160,Q217573
161,Q4227
162,Q3840847
163,Q51552
164,Q24829
165,Q16390
166,Q56016
167,Q230151
168,Q173158
169,Q80739
170,Q49001
171,Q290091
172,Q230138
173,Q55245
174,Q183532
175,Q229410
176,Q324572
177,Q299194
178,Q43247
179,Q282722
180,Q192410
181,Q166272
182,Q232874
183,Q7297814
184,Q95026
185,Q190994
186,Q105825
187,Q51566
188,Q190998
189,NULL
190,Q223233
191,Q350405
192,Q55400
193,Q160528
194,Q106275
195,Q34816
196,Q136209
197,Q4636
198,Q51506
199,Q153018
200,Q71206
201,Q108366
202,Q179497
203,Q591785
204,Q202172
205,Q185079
206,Q102813
207,Q95030
208,Q310324
209,Q134867
210,Q129429
211,Q51522
212,Q18350026
213,NULL
214,Q491314
215,Q40475
216,Q94123
217,Q56095
218,Q230188
219,Q360001
220,Q160726
221,Q259913
222,NULL
223,Q882
224,Q408650
225,Q93957
226,Q104049
227,Q182450
228,Q182372
229,Q312751
230,Q228928
231,Q76895
232,Q103894
233,Q95002
234,Q2514422
235,Q224054
236,Q273208
237,Q40912
238,Q318287
239,Q732661
240,Q710180
241,Q102551
242,Q232941
243,Q230218
244,Q76364
245,Q83484
246,Q230184
247,Q531599
248,Q71275
249,Q213287
250,Q228906
251,Q51582
252,Q71243
253,Q189895
254,Q232538
255,Q202144
256,Q1208568
257,Q232933
258,Q189422
259,Q248837
260,Q372394
261,Q181899
