,Work_period_start,Work_period_end,Wiki_id
128,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q2004167
129,"work period (start)
2009
1 reference",,http://www.wikidata.org/entity/Q2003726
130,,,http://www.wikidata.org/entity/Q2003807
131,,,http://www.wikidata.org/entity/Q2040478
132,,,http://www.wikidata.org/entity/Q2043591
133,"work period (start)
1965
1 reference","work period (end)
2020
0 references",http://www.wikidata.org/entity/Q2049688
134,,,http://www.wikidata.org/entity/Q1802784
135,"work period (start)
1989
1 reference",,http://www.wikidata.org/entity/Q1749475
136,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q1773250
137,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q1828366
138,"work period (start)
1965
1 reference",,http://www.wikidata.org/entity/Q1891741
139,,,http://www.wikidata.org/entity/Q2043560
140,,,http://www.wikidata.org/entity/Q1612637
141,,,http://www.wikidata.org/entity/Q1993373
142,"work period (start)
1986
1 reference",,http://www.wikidata.org/entity/Q1992008
143,"work period (start)
2010
1 reference",,http://www.wikidata.org/entity/Q2003575
144,,,http://www.wikidata.org/entity/Q2004042
145,"work period (start)
1963
1 reference",,http://www.wikidata.org/entity/Q1959649
146,"work period (start)
2004
0 references",,http://www.wikidata.org/entity/Q2003547
147,"work period (start)
2007
1 reference",,http://www.wikidata.org/entity/Q2003605
148,"work period (start)
1980
1 reference",,http://www.wikidata.org/entity/Q2017182
149,,,http://www.wikidata.org/entity/Q2049740
150,"work period (start)
2008
1 reference",,http://www.wikidata.org/entity/Q2003652
151,"work period (start)
1997
1 reference",,http://www.wikidata.org/entity/Q2049494
152,"work period (start)
1972
1 reference",,http://www.wikidata.org/entity/Q2028314
153,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q2049641
154,"work period (start)
1979
1 reference",,http://www.wikidata.org/entity/Q1749549
155,"work period (start)
1986
1 reference",,http://www.wikidata.org/entity/Q1990143
156,"work period (start)
1982
1 reference",,http://www.wikidata.org/entity/Q3499101
157,"work period (start)
1986
1 reference",,http://www.wikidata.org/entity/Q3345031
158,"work period (start)
1966
1 reference",,http://www.wikidata.org/entity/Q3349817
159,"work period (start)
1941
1 reference",,http://www.wikidata.org/entity/Q3349745
160,"work period (start)
1968
1 reference",,http://www.wikidata.org/entity/Q3273349
161,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q3424281
162,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q3045307
163,,,http://www.wikidata.org/entity/Q3429995
164,,,http://www.wikidata.org/entity/Q3494314
165,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q3519669
166,,,http://www.wikidata.org/entity/Q3465902
167,"work period (start)
1980
edit
1 reference
add value",,http://www.wikidata.org/entity/Q3519611
168,"work period (start)
2001
edit
1 reference
add value",,http://www.wikidata.org/entity/Q3498996
169,,,http://www.wikidata.org/entity/Q3514905
170,,,http://www.wikidata.org/entity/Q3519495
171,"work period (start)
1997
1 reference",,http://www.wikidata.org/entity/Q3345518
172,"work period (start)
1982
1 reference",,http://www.wikidata.org/entity/Q3276006
173,"work period (start)
1938
1 reference",,http://www.wikidata.org/entity/Q3417981
174,,,http://www.wikidata.org/entity/Q3418119
175,"work period (start)
1994
1 reference",,http://www.wikidata.org/entity/Q3117676
176,"work period (start)
1952
1 reference",,http://www.wikidata.org/entity/Q3111131
177,"work period (start)
1990
1 reference",,http://www.wikidata.org/entity/Q3021147
178,"work period (start)
1994
1 reference",,http://www.wikidata.org/entity/Q3519840
