,imdb_id,debut_films
62,nm0062620,"[['1959', 'Satta Bazaar', 'tt0139587'], ['1966', 'Ladka Ladki', 'tt0175834'], ['1959', 'Satta Bazaar', 'tt0139587'], ['1968', 'Parivar', 'tt0293499']]"
63,nm0881285,"[['1991', 'Pookkalam Varavayi', 'tt0258886'], ['1999', 'Niram', 'tt0255426']]"
64,nm1398736,"[['2001', 'Ishtam', 'tt0322788'], ['2009', 'Ivar Vivahitharayal...?', 'tt1458924']]"
65,nm1289230,"[['1993', 'Atma', 'tt0254149']]"
66,nm0082027,"[['1986', 'Nishaan', 'tt14296072'], ['1980', 'Miss Universe Pageant', 'tt6618980']]"
67,nm0038023,"[['1983', 'Mandi', 'tt0085896'], ['1983', 'Ardh Satya', 'tt0085178'], ['1991', 'Lamhe', 'tt0102258'], ['1985', 'Doongar Ro Bhed', 'tt0266480']]"
68,nm1728860,"[['2004', 'Rasikan', 'tt0425389'], ['2018', 'Nayika Nayakan', 'tt14176520']]"
69,nm0534858,"[['1991', 'Pookkalam Varavayi', 'tt0258886'], ['2018', 'Daivame Kaithozham K. Kumarakanam', 'tt7489844'], ['2018', 'Daivame Kaithozham K. Kumarakanam', 'tt7489844']]"
70,nm0537027,"[['1945', 'Rajlaxmi', 'tt0243515'], ['1950', 'Babul', 'tt0331186'], ['1945', 'Rajlaxmi', 'tt0243515'], ['1981', 'Nai Zindagi: Naya Jeevan', 'tt4967596']]"
71,nm0464075,"[['1972', 'Ek Khilari Bawan Pattey', 'tt0381157'], ['1973', 'Yaadon Ki Baaraat', 'tt0070935'], ['1973', 'Yaadon Ki Baaraat', 'tt0070935'], ['1989', 'Dav Pech', 'tt0926191']]"
72,nm0046894,"[['1983', 'Bekaraar', 'tt0312445'], ['1999', 'Safari', 'tt0286934'], ['2016', 'Hoshiyar... Sahi Waqt, Sahi Kadam', 'tt12492276']]"
73,nm0430803,"[['1982', 'Ek Daav Bhutacha', 'tt7943032']]"
74,nm0619053,"[['1973', 'Geetha', 'tt0245129'], ['1973', 'Geetha', 'tt0245129'], ['1979', '22 June 1897', 'tt0078724']]"
75,nm2381331,"[['1998', 'Sawan Mein Lag Gayi Aag', 'tt6090790'], ['2006', 'Pyaar Ke Side Effects', 'tt0480572'], ['1998', 'Sawan Mein Lag Gayi Aag', 'tt6090790'], ['2007', 'Shootout at Lokhandwala', 'tt0811066']]"
76,nm0659264,"[['1967', 'Taqdeer', 'tt0165973'], ['1975', 'Uljhan', 'tt0230913'], ['1967', 'Taqdeer', 'tt0165973'], ['1980', 'Ek Baar Kaho', 'tt0340091']]"
77,nm1133214,"[['1975', 'Saloni', 'tt13711172'], ['2010', 'Malik Ek', 'tt1609147']]"
78,nm1778107,"[['1992', 'Shubhamangal Savadhan', 'tt0947074'], ['2009', 'Gallit Gondhal, Dillit Mujra', 'tt1446071'], ['2011', 'Dambis', 'tt2256667'], ['2006', 'Struggler', 'tt0476878']]"
79,nm0802366,"[['1950', 'Shri Krishan Leela', 'tt2396322'], ['1972', 'Lalkar (The Challenge)', 'tt0268416'], ['1966', 'Mere Lal', 'tt0156792'], ['1971', 'Guddi', 'tt0067164']]"
80,nm1795232,"[['2003', 'Maqbool', 'tt0379370'], ['2011', 'Yeh Saali Zindagi', 'tt1754920'], ['2016', 'Memoirs of Prem Ratan Dhan Payo', 'tt5988306']]"
81,nm3057159,"[['2008', 'Haal-e-Dil', 'tt1252488'], ['2019', 'Soniyo 2.0', 'tt12376602'], ['2008', 'All She Wants to Do', 'tt1365578'], ['2014', 'Heartless', 'tt3334348']]"
82,nm1483377,"[['2003', 'Inteha', 'tt0385782'], ['2002', 'Awara Paagal Deewana', 'tt0319020'], ['2011', 'Superstud Song', 'tt5097946'], ['2010', 'Bigg Boss', 'tt1281973']]"
83,nm1432530,"[['1986', 'Aval Kathirunnu Avanum', 'tt0271385']]"
84,nm3674752,"[['1997', 'Kadhalukku Mariyadhai', 'tt0316078']]"
85,nm0422566,"[['1999', 'Thammudu', 'tt0240084'], ['2011', 'Sahi Dhandhe Galat Bande', 'tt1630282'], ['2002', 'Kya Masti Kya Dhum', 'tt0316996']]"
