,wiki_id
617,Q1379980
1498,Q1380406
1624,Q1380831
1367,Q1380910
843,Q1381702
563,Q1382544
621,Q1385337
1935,Q1386352
950,Q1386549
900,Q1387048
1775,Q1390055
1,Q13909
594,Q1392079
1083,Q139384
449,Q1394956
952,Q1396531
1279,Q1399974
360,Q140017
1283,Q1406095
1122,Q1409480
1721,Q1412129
1676,Q1418234
1696,Q1424476
1490,Q1424757
1637,Q1430524
1614,Q1439818
1259,Q1441455
1683,Q1442462
717,Q1442674
2036,Q1443174
1567,Q1443750
1609,Q1443916
2124,Q1444092
8,Q14441
1663,Q1444294
1979,Q1444560
2083,Q1445229
380,Q144622
867,Q144896
1596,Q1449921
1759,Q1451208
1893,Q1452367
996,Q1452750
2209,Q1453229
1838,Q1453232
2119,Q1454375
883,Q1455793
1538,Q146051
3,Q147077
1291,Q1476230
2100,Q1479623
1541,Q1479778
1647,Q1489815
1855,Q1493931
960,Q1494198
2171,Q1494888
1303,Q1494959
1628,Q1496347
1913,Q1499405
2046,Q1501408
1925,Q1501432
45,Q150482
1802,Q1507268
1407,Q1507653
1697,Q1508118
1578,Q1508565
101,Q150943
499,Q151231
559,Q15123969
940,Q1516833
1370,Q1521771
1990,Q1522637
549,Q152888
199,Q153018
1353,Q1531054
536,Q153172
584,Q153579
1880,Q1537991
1190,Q1538104
2201,Q1542688
886,Q1543185
1651,Q1543195
1237,Q1545033
1146,Q15453518
1245,Q15455190
2102,Q1547897
439,Q155124
1418,Q15540157
774,Q1557489
2222,Q15623015
1489,Q15632105
2038,Q15637776
714,Q156596
1368,Q1569339
939,Q15694643
1406,Q15709361
2067,Q15710493
1467,Q15710740
1638,Q1573916
1210,Q15783382
1996,Q15784088
1098,Q15808023
1226,Q15818581
968,Q15821130
1395,Q1582156
1591,Q15823656
1515,Q15832725
1254,Q15834040
1024,Q15836491
698,Q15838495
980,Q15839740
1140,Q15840165
706,Q15841720
1650,Q15849216
2068,Q15853556
2208,Q15855329
1503,Q1585851
1319,Q1586410
1046,Q15865116
1751,Q1586690
1856,Q15874738
684,Q15884784
687,Q15885146
982,Q15885371
1268,Q15885376
627,Q15885378
1267,Q15885394
1014,Q15885455
1824,Q15885469
264,Q159347
2045,Q15999678
1659,Q16006580
2139,Q16007663
1766,Q16008142
2025,Q16009761
2058,Q16015193
2047,Q16018374
1791,Q16019388
1276,Q1604077
193,Q160528
999,Q16063227
2060,Q1606514
1242,Q1606794
220,Q160726
1999,Q1607864
2187,Q1609165
1163,Q1609199
1867,Q1609972
666,Q16102971
2141,Q1610333
1571,Q16116887
1933,Q1613153
1269,Q16146270
1194,Q16150266
796,Q16159958
2223,Q16162621
1464,Q16164109
728,Q1616820
1798,Q16171000
797,Q1617323
133,Q161819
1588,Q16193228
1511,Q16193503
1026,Q16193961
1907,Q16197897
893,Q16198174
1366,Q16198562
1225,Q16198707
1746,Q16199139
1860,Q16199863
730,Q16201471
1767,Q16205866
1434,Q16207438
1748,Q16207538
67,Q16207879
586,Q16208322
1159,Q1620897
1612,Q16210211
1519,Q16210323
834,Q16211594
1681,Q16211967
1236,Q16212162
761,Q16212641
1363,Q16225121
1009,Q16225244
1629,Q16229781
799,Q16230245
114,Q162492
433,Q162621
2136,Q1627924
1620,Q1631803
1957,Q1634543
1216,Q1634597
1582,Q1634694
165,Q16390
859,Q1652953
1734,Q1655499
1500,Q1656923
680,Q166000
732,Q1660432
181,Q166272
62,Q166389
2032,Q1666270
1512,Q166723
1124,Q1668257
509,Q166887
1565,Q1670986
2099,Q1672338
1430,Q16726115
995,Q16728001
685,Q16730623
1502,Q16731142
1982,Q16731260
1904,Q16731494
752,Q16731914
1643,Q16733957
1505,Q16734293
1616,Q16734557
1670,Q16734760
2158,Q1674729
2147,Q16750458
120,Q167520
1898,Q1675606
1873,Q1676994
2217,Q1677007
2120,Q1677235
1362,Q1678535
1548,Q1679448
2024,Q1680316
1853,Q1680430
1289,Q1680994
2057,Q1681261
1020,Q168169
1287,Q1682531
875,Q1683011
2137,Q1684305
901,Q1685654
1679,Q16857518
1921,Q16866670
2070,Q1687065
147,Q168721
53,Q168724
1313,Q16875126
1175,Q16875332
922,Q1687602
2144,Q1687742
1750,Q16886125
1712,Q16886364
1724,Q1690720
1636,Q1690722
1309,Q1691344
1634,Q1691570
1695,Q1691721
1143,Q1699098
933,Q1699139
1321,Q1699413
1916,Q1699437
1472,Q1699538
1639,Q1699673
1851,Q1699673
1300,Q1701116
822,Q1701183
1509,Q1701288
2087,Q1701293
2192,Q1701463
1423,Q1701885
1722,Q1702126
1599,Q1702242
1082,Q1705192
60,Q170574
85,Q170587
1592,Q1706396
1433,Q1706967
1959,Q1707407
2085,Q1708070
1168,Q1708414
2013,Q1711555
1735,Q1711853
861,Q1711898
1771,Q1712018
137,Q171736
146,Q171745
871,Q1718449
1611,Q1718481
93,Q171905
1189,Q1722867
79,Q172653
1618,Q1728848
1986,Q17291692
1864,Q17292257
1199,Q17292271
1977,Q1729241
2079,Q1730166
1744,Q17314542
168,Q173158
2094,Q1735137
113,Q173585
1376,Q1741571
2115,Q17421383
1069,Q1743733
65,Q174843
361,Q174908
1112,Q1750698
1586,Q17521933
1633,Q1754756
34,Q175535
2010,Q17626514
1126,Q176324
1752,Q1764766
1581,Q176524
